country_code,coin_value,item_represented
ES,0.20,Cathedral of Santiago de Compostela
ES,0.10,Cathedral of Santiago de Compostela
ES,0.05,Miguel de Cervantes
ES,0.02,Miguel de Cervantes
ES,0.01,Miguel de Cervantes
VA,2,Coat of arms of Pope Leo XIV
VA,1,Coat of arms of Pope Leo XIV
VA,0.50,Coat of arms of Pope Leo XIV
VA,0.20,Coat of arms of Pope Leo XIV
VA,0.10,Coat of arms of Pope Leo XIV
VA,0.05,Coat of arms of Pope Leo XIV
VA,0.02,Coat of arms of Pope Leo XIV
VA,0.01,Coat of arms of Pope Leo XIV
